English1,English2,Score
It was the first time in my life that I had ever seen such a tremendous typhoon.,This is the worst typhoon I’ve experienced.,0.6441676616668701
The minister was obliged to retract his previous statement.,The minister had to admit that what he said was wrong.,0.4303911328315735
It's rare to find a person who doesn't feel a little love for his hometown.,Most people love their hometown.,0.4285426735877991
"It's been a long time since we've had such nice weather, said a local resident.",The local people said that it was the most beautiful day for years.,0.39500126242637634
Only after losing her did I realize that there are some things that money can't buy.,I had thought I could buy anything with money until I lost her.,0.7097193002700806
Last night I was so absorbed in that detective novel that I stayed up until 2 a.m. I'm wearing glasses now.,That detective story was so good I couldn't put it down until two this morning.,0.5626105070114136
"I don't have my glasses on now, so I don't know what that sign says.","I'm not wearing glasses now, so I can't make out what the sign says.",0.8952276706695557
Different people have different ideas. You never know who has what hobby.,Different people like different things. You can't tell what someone is interested in.,0.5989724397659302
It's better to keep that a secret.,You should leave it unsaid.,0.4004370868206024
Living in Canada was not as expensive as I thought it would be.,Living in Canada was not as expensive as I thought it would be.,1.0000001192092896
"Generally speaking, people become more and more generous as they get older.","Generally speaking, the older people get, he more broad-minded they become.",0.7140389680862427
"According to the weather forecast, the typhoon will approach the Kyushu region around midnight this evening.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,0.5798582434654236
It's been 20 years since we've had such heavy snowfall.,This is the heaviest snowfall we’ve had for the past twenty years.,0.7475036382675171
I went home the other day for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,0.778662383556366
It's only when you go abroad that you realize how much neon lights there are in Japan's big cities.,It is not until you go abroad that you realize how many neon lighs there are in big Japanese cities.,0.7917469143867493
"This Sunday, if the weather is good, why don't we go hiking in Okutama?",How would you like to go hiking in Okutama next Sunday if the weather is nice.,0.7785608172416687
"It's raining heavily outside, so you might want to stay here for a while longer.",It’s pouring down outside. I think it would be better to stay here a little longer.,0.6255332231521606
I went to Enoshima Island for swimming the summer before last.,I went swimming in Enoshima the summer before last.,0.9081477522850037
